Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdY/90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
107,Vishal Kaith,in IND,GK,Mohun Bagan,26,1996,20,2,0.1,0,0,2,3,0,0,1,1,0
108,Ivan Kaliuzhnyi,ua UKR,MF,Kerala Blasters,24,1998,13.8,7,0.51,0,0,28,19,0,13,20,33,0
109,Rahul Kannoly Praveen,in IND,MF,Kerala Blasters,22,2000,14.3,8,0.56,1,1,29,12,4,30,18,19,0
110,Kwame Karikari,gh GHA,FW,Chennaiyin,30,1992,6,2,0.33,0,0,9,5,2,12,3,2,0
111,Prasanth Karuthadathkuni,in IND,"MF,FW",Chennaiyin,25,1997,9.5,0,0,0,0,9,5,5,26,4,15,0
112,Laxmikant Kattimani,in IND,GK,Hyderabad FC,33,1989,5.4,0,0,0,0,0,1,0,0,0,0,0
113,Joni Kauko,fi FIN,MF,Mohun Bagan,32,1990,5.5,1,0.18,0,0,4,5,0,2,4,14,0
114,Harmanjot Khabra,in IND,DF,Kerala Blasters,33,1988,6,3,0.5,0,0,4,1,1,4,8,4,0
115,Imran Khan,in IND,"MF,FW",NorthEast Utd,27,1994,5.3,1,0.19,0,0,2,6,0,15,1,4,0
116,Abdenasser El Khayati,nl NED,"MF,FW",Chennaiyin,33,1989,6.4,0,0,0,0,3,6,0,47,0,2,0
117,Pritam Kotal,in IND,DF,Mohun Bagan,28,1993,20,3,0.15,0,0,8,5,0,8,39,7,0
118,Roy Krishna,fj FIJ,FW,Bengaluru,34,1987,17.4,4,0.23,0,0,23,35,8,10,2,4,0
119,Ajith Kumar,in IND,DF,Chennaiyin,25,1996,13.6,6,0.44,1,1,20,17,0,40,36,30,0
120,Anuj Kumar,in IND,GK,Hyderabad FC,24,1998,1.6,1,0.63,0,0,1,0,0,0,0,0,0
121,Gurjinder Kumar,in IND,DF,NorthEast Utd,31,1990,10.1,2,0.2,0,0,11,6,0,15,13,9,0
122,Nanda Kumar,in IND,"FW,MF",Odisha,26,1995,17.4,3,0.17,1,1,14,14,2,57,13,16,0
123,Nishu Kumar,in IND,DF,Kerala Blasters,24,1997,11.2,3,0.27,0,0,9,4,2,35,9,11,0
124,Rohit Kumar,in IND,MF,Bengaluru,25,1997,8.9,3,0.34,0,0,11,6,0,3,24,13,0
125,Ashique Kuruniyan,in IND,"MF,FW",Mohun Bagan,25,1997,11.9,4,0.34,1,0,19,24,2,34,14,18,0
126,Charalambos Kyriakou,cy CYP,"DF,MF",East Bengal,32,1989,14.5,2,0.14,0,0,7,7,0,5,18,15,0
127,Phurba Lachenpa,in IND,GK,Mumbai City,24,1998,20,1,0.05,0,0,0,1,1,0,0,0,0
128,Emanuel Lalchhanchhuaha,in IND,MF,NorthEast Utd,20,2002,4.1,0,0,0,0,4,8,0,2,3,10,0
129,R Laldanmawia,in IND,MF,NorthEast Utd,29,1992,1,0,0,0,0,2,0,0,0,1,0,0
130,Lalengmawia,in IND,MF,Mumbai City,21,2000,12.8,3,0.23,0,0,10,23,1,7,12,22,0
131,Ricky Lallawmawma,in IND,"DF,MF",Jamshedpur,30,1991,19.9,1,0.05,0,0,18,6,0,61,20,22,0
132,Jerry Lalrinzuala,in IND,DF,East Bengal,24,1998,16.6,3,0.18,0,0,15,21,2,44,32,26,0
133,Lalruatthara,in IND,DF,Odisha,27,1995,1.7,0,0,0,0,2,0,0,2,4,1,0
134,K Lalthathanga,in IND,MF,Kerala Blasters,24,1998,4,0,0,0,0,7,2,0,13,6,4,0
135,K Lalthathanga,in IND,MF,Mohun Bagan,24,1998,2.3,1,0.43,0,0,3,0,0,2,3,3,0
136,Marko Lešković,hr CRO,DF,Kerala Blasters,31,1991,13.1,3,0.23,0,0,11,6,1,1,24,8,0
137,Adrián Luna,uy URU,"MF,FW",Kerala Blasters,30,1992,18.9,4,0.21,0,0,13,50,6,111,12,16,0
138,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,8.9,1,0.11,1,0,2,1,0,0,0,1,0
139,Osama Malik,au AUS,DF,Odisha,31,1990,12.2,1,0.08,0,0,5,7,1,1,13,10,0
140,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,2.8,1,0.36,0,0,4,4,1,14,3,4,0
141,Pedro Martín,es ESP,"FW,MF",Odisha,30,1992,9.1,3,0.33,0,0,19,11,7,6,1,3,0
142,Glan Martins,in IND,MF,Goa,28,1994,5.2,0,0,0,0,10,2,1,3,5,13,0
143,Glan Martins,in IND,MF,Mohun Bagan,28,1994,5.2,0,0,0,0,8,6,1,4,17,15,0
144,Diego Maurício,br BRA,FW,Odisha,31,1991,16,2,0.13,0,0,10,21,15,6,0,11,0
145,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,14.5,1,0.07,0,0,12,16,2,31,6,14,0
146,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,4.9,0,0,0,0,6,8,3,1,0,0,0
147,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,12.2,3,0.25,0,0,26,9,0,1,15,26,0
