Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
67,Aibanbha Dohling,in IND,DF,Goa,26,1996,19,1489,78,82.7,16.5,17,86,14,2,12,1,1.42,30,25,5,0.3,1.46,Matches
68,Seiminlen Doungel,in IND,"FW,MF",Jamshedpur,28,1994,10,164,16,9.1,1.8,0,,0,10,16,10,1.3,1,7,-6,-3.29,-3.02,Matches
69,Julius DÃ¼ker,de GER,MF,Chennaiyin,26,1996,20,1646,82,91.4,18.3,20,82,13,0,,0,1.35,32,33,-1,-0.05,-0.05,Matches
70,Eliandro,br BRA,FW,East Bengal,32,1990,7,112,16,6.2,1.2,0,,0,7,16,2,0.43,1,4,-3,-2.41,-1.72,Matches
71,Jay Emmanuel-Thomas,eng ENG,MF,Jamshedpur,31,1990,17,1305,77,72.5,14.5,14,87,12,3,29,3,0.94,14,20,-6,-0.41,0.5,Matches
72,Aaron Evans,au AUS,DF,NorthEast Utd,27,1994,18,1343,75,74.6,14.9,15,87,13,3,14,2,0.28,17,43,-26,-1.74,0.03,Matches
73,Mourtada Fall,sn SEN,DF,Mumbai City,34,1987,16,862,54,47.9,9.6,8,86,7,8,22,4,2.17,17,9,8,0.84,-1.56,Matches
74,Danish Farooq,in IND,FW,Kerala Blasters,26,1996,5,62,12,3.4,0.7,0,,0,5,12,0,0.5,0,1,-1,-1.45,-1.5,Matches
75,Danish Farooq,in IND,MF,Bengaluru,26,1996,10,469,47,26.1,5.2,6,69,2,4,13,6,1.2,5,9,-4,-0.77,-1.31,Matches
76,Brandon Fernandes,in IND,MF,Goa,27,1994,20,1678,84,93.2,18.6,20,84,11,0,,0,1.35,31,35,-4,-0.21,-3.9,Matches
77,Brison Fernandes,in IND,MF,Goa,21,2001,13,249,19,13.8,2.8,1,74,0,12,15,7,1.62,7,3,4,1.45,1.62,Matches
78,Raynier Fernandes,in IND,MF,Odisha,,,19,1101,58,61.2,12.2,16,64,5,3,27,0,1.5,18,18,0,0,0.26,Matches
79,Seriton Fernandes,in IND,DF,Goa,29,1992,15,1277,85,70.9,14.2,15,85,11,0,,1,1.27,24,26,-2,-0.14,-0.66,Matches
80,Sweden Fernandes,in IND,MF,Hyderabad FC,22,2000,0,,,,,0,,0,0,,2,,,,,,,Matches
81,Dylan Fox,au AUS,DF,Jamshedpur,28,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
82,Narender Gahlot,in IND,DF,Odisha,21,2001,17,1289,76,71.6,14.3,15,84,12,2,16,2,1.17,22,27,-5,-0.35,-0.88,Matches
83,Federico Gallego,uy URU,MF,Mohun Bagan,32,1990,8,435,54,24.2,4.8,4,89,3,4,20,0,1.42,4,3,1,0.21,-0.19,Matches
84,Saviour Gama,in IND,DF,Goa,25,1997,8,250,31,13.9,2.8,3,62,1,5,13,5,1.25,4,7,-3,-1.08,-1.31,Matches
85,IvÃ¡n Garrido GonzÃ¡lez,es ESP,DF,East Bengal,32,1990,15,1246,83,69.2,13.8,14,87,12,1,25,3,0.8,17,30,-13,-0.94,-0.45,Matches
86,Jon GaztaÃ±aga,es ESP,MF,NorthEast Utd,31,1991,13,1031,79,57.3,11.5,11,87,9,2,38,0,0.31,11,26,-15,-1.31,1.03,Matches
87,Apostolos Giannou,au AUS,FW,Kerala Blasters,32,1990,17,676,40,37.6,7.5,5,80,2,12,23,0,1.65,12,7,5,0.67,1.07,Matches
88,Sarthak Golui,in IND,DF,East Bengal,24,1997,13,959,74,53.3,10.7,10,87,7,3,30,4,0.92,11,12,-1,-0.09,1.51,Matches
89,Amrit Gope,in IND,GK,Bengaluru,22,1999,0,,,,,0,,0,0,,8,,,,,,,Matches
90,Rostyn Griffiths,au AUS,DF,Mumbai City,34,1988,17,1292,76,71.8,14.4,14,88,13,3,22,0,2.35,45,17,28,1.95,1.06,Matches
91,Iker Guarrotxena,es ESP,"MF,FW",Goa,29,1992,20,1688,84,93.8,18.8,20,84,15,0,,0,1.35,35,31,4,0.21,2.62,Matches
92,Vafa Hakhamaneshi,ir IRN,DF,Chennaiyin,31,1991,18,1394,77,77.4,15.5,15,89,14,3,22,1,1.5,25,25,0,0,0.22,Matches
93,Pronay Halder,in IND,MF,Mohun Bagan,29,1993,2,66,33,3.7,0.7,1,65,0,1,1,3,3,2,1,1,1.36,1.05,Matches
94,Pronay Halder,in IND,"MF,DF",Jamshedpur,29,1993,7,630,90,35,7,7,90,7,0,,0,1.86,12,10,2,0.29,1.29,Matches
95,Brendan Hamill,au AUS,DF,Mohun Bagan,29,1992,18,1620,90,90,18,18,90,18,0,,0,1.5,21,17,4,0.22,-1.28,Matches
