Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
100,Sandesh Jhingan,in IND,DF,Bengaluru,29,1993,18,18,1620,18,0,0,0,0,0,0,3,0,0,0,0,0,0
101,Ricky John Shabong,in IND,MF,Mohun Bagan,19,2002,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Lalbiakhlua Jongte,in IND,GK,Hyderabad FC,20,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Wilmar JordÃ¡n,co COL,"FW,MF",NorthEast Utd,31,1990,11,9,736,8.2,8,0,8,3,5,5,1,1,0.98,0,0.98,0.37,0.37
104,Aleksandar JovanoviÄ‡,au AUS,DF,Bengaluru,32,1989,13,13,1078,12,0,1,1,0,0,0,0,0,0,0.08,0.08,0,0.08
105,Jobby Justin,in IND,FW,Chennaiyin,28,1993,5,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Abdul Rabeeh A K,in IND,MF,Hyderabad FC,21,2001,16,1,312,3.5,0,3,3,0,0,0,0,0,0,0.87,0.87,0,0.87
107,Vishal Kaith,in IND,GK,Mohun Bagan,26,1996,20,20,1800,20,0,0,0,0,0,0,2,0,0,0,0,0,0
108,Ivan Kaliuzhnyi,ua UKR,MF,Kerala Blasters,24,1998,18,15,1246,13.8,4,1,5,4,0,0,7,0,0.29,0.07,0.36,0.29,0.36
109,Rahul Kannoly Praveen,in IND,MF,Kerala Blasters,22,2000,18,15,1288,14.3,2,2,4,2,0,0,8,1,0.14,0.14,0.28,0.14,0.28
110,Kwame Karikari,gh GHA,FW,Chennaiyin,30,1992,16,3,540,6,4,1,5,2,2,2,2,0,0.67,0.17,0.83,0.33,0.5
111,Prasanth Karuthadathkuni,in IND,"MF,FW",Chennaiyin,25,1997,15,12,853,9.5,1,1,2,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21
112,Laxmikant Kattimani,in IND,GK,Hyderabad FC,33,1989,6,6,487,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Joni Kauko,fi FIN,MF,Mohun Bagan,32,1990,6,6,498,5.5,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18
114,Harmanjot Khabra,in IND,DF,Kerala Blasters,33,1988,7,7,540,6,1,1,2,1,0,0,3,0,0.17,0.17,0.33,0.17,0.33
115,Imran Khan,in IND,"MF,FW",NorthEast Utd,27,1994,14,4,478,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38
116,Abdenasser El Khayati,nl NED,"MF,FW",Chennaiyin,33,1989,12,6,577,6.4,9,5,14,8,1,1,0,0,1.4,0.78,2.18,1.25,2.03
117,Pritam Kotal,in IND,DF,Mohun Bagan,28,1993,20,20,1799,20,0,0,0,0,0,0,3,0,0,0,0,0,0
118,Roy Krishna,fj FIJ,FW,Bengaluru,34,1987,18,18,1564,17.4,5,5,10,5,0,0,4,0,0.29,0.29,0.58,0.29,0.58
119,Ajith Kumar,in IND,DF,Chennaiyin,25,1996,15,15,1228,13.6,0,0,0,0,0,0,6,1,0,0,0,0,0
120,Anuj Kumar,in IND,GK,Hyderabad FC,24,1998,2,1,143,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0
121,Gurjinder Kumar,in IND,DF,NorthEast Utd,31,1990,11,10,905,10.1,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1
122,Nanda Kumar,in IND,"FW,MF",Odisha,26,1995,19,19,1564,17.4,6,1,7,6,0,0,3,1,0.35,0.06,0.4,0.35,0.4
123,Nishu Kumar,in IND,DF,Kerala Blasters,24,1997,16,10,1005,11.2,0,1,1,0,0,0,3,0,0,0.09,0.09,0,0.09
124,Rohit Kumar,in IND,MF,Bengaluru,25,1997,15,8,805,8.9,3,0,3,3,0,0,3,0,0.34,0,0.34,0.34,0.34
125,Ashique Kuruniyan,in IND,"MF,FW",Mohun Bagan,25,1997,16,12,1071,11.9,0,1,1,0,0,0,4,1,0,0.08,0.08,0,0.08
126,Charalambos Kyriakou,cy CYP,"DF,MF",East Bengal,32,1989,18,15,1308,14.5,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07
127,Phurba Lachenpa,in IND,GK,Mumbai City,24,1998,20,20,1800,20,0,0,0,0,0,0,1,0,0,0,0,0,0
128,Emanuel Lalchhanchhuaha,in IND,MF,NorthEast Utd,20,2002,9,4,366,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,R Laldanmawia,in IND,MF,NorthEast Utd,29,1992,6,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Lalengmawia,in IND,MF,Mumbai City,21,2000,16,16,1151,12.8,3,0,3,3,0,0,3,0,0.23,0,0.23,0.23,0.23
131,Ricky Lallawmawma,in IND,"DF,MF",Jamshedpur,30,1991,20,20,1795,19.9,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05
132,Jerry Lalrinzuala,in IND,DF,East Bengal,24,1998,19,16,1498,16.6,0,1,1,0,0,0,3,0,0,0.06,0.06,0,0.06
133,Lalruatthara,in IND,DF,Odisha,27,1995,4,1,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
134,K Lalthathanga,in IND,MF,Kerala Blasters,24,1998,6,4,362,4,0,0,0,0,0,0,0,0,0,0,0,0,0
135,K Lalthathanga,in IND,MF,Mohun Bagan,24,1998,6,3,207,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0
136,Marko LeÅ¡koviÄ‡,hr CRO,DF,Kerala Blasters,31,1991,14,13,1177,13.1,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08
137,AdriÃ¡n Luna,uy URU,"MF,FW",Kerala Blasters,30,1992,19,19,1705,18.9,4,6,10,4,0,0,4,0,0.21,0.32,0.53,0.21,0.53
138,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,9,9,801,8.9,0,0,0,0,0,0,1,1,0,0,0,0,0
139,Osama Malik,au AUS,DF,Odisha,31,1990,15,15,1095,12.2,0,0,0,0,0,0,1,0,0,0,0,0,0
140,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,13,2,252,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Pedro MartÃ­n,es ESP,"FW,MF",Odisha,30,1992,19,8,821,9.1,3,1,4,3,0,0,3,0,0.33,0.11,0.44,0.33,0.44
142,Glan Martins,in IND,MF,Goa,28,1994,9,4,471,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
